"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"dur (µs)";"duration (µs) per op";"ops per ms"
access;partiallypersistent;258;68,608;0,265922480620155;3760,49440298508
access;partiallypersistent;258;58,88;0,228217054263566;4381,79347826087
access;partiallypersistent;258;34,304;0,132961240310078;7520,98880597015
access;partiallypersistent;258;69,12;0,267906976744186;3732,63888888889
access;partiallypersistent;258;40,448;0,15677519379845;6378,56012658228
access;partiallypersistent;258;32,0;0,124031007751938;8062,5
access;partiallypersistent;258;34,56;0,133953488372093;7465,27777777778
access;partiallypersistent;258;68,608;0,265922480620155;3760,49440298508
access;partiallypersistent;258;33,024;0,128;7812,5
access;partiallypersistent;258;67,84;0,262945736434109;3803,06603773585
access;partiallypersistent;563;150,528;0,267367673179396;3740,16794217687
access;partiallypersistent;563;134,656;0,239175843694494;4181,02423954373
access;partiallypersistent;563;101,888;0,180973357015986;5525,67525125628
access;partiallypersistent;563;79,36;0,140959147424512;7094,25403225807
access;partiallypersistent;563;149,504;0,265548845470693;3765,78553082192
access;partiallypersistent;563;145,408;0,258273534635879;3871,86399647887
access;partiallypersistent;563;154,368;0,274188277087034;3647,12893864013
access;partiallypersistent;563;93,44;0,165968028419183;6025,25684931507
access;partiallypersistent;563;150,272;0,26691296625222;3746,53960817717
access;partiallypersistent;563;129,28;0,229626998223801;4354,88861386139
access;partiallypersistent;1334;263,424;0,197469265367316;5064,07920310982
access;partiallypersistent;1334;188,672;0,141433283358321;7070,47150610584
access;partiallypersistent;1334;232,704;0,174440779610195;5732,60451045105
access;partiallypersistent;1334;344,064;0,25791904047976;3877,18563988095
access;partiallypersistent;1334;283,136;0,212245877061469;4711,51672694394
access;partiallypersistent;1334;346,112;0,259454272863568;3854,24371301775
access;partiallypersistent;1334;201,728;0,151220389805097;6612,86484771574
access;partiallypersistent;1334;175,616;0,131646176911544;7596,11880466472
access;partiallypersistent;1334;348,672;0,261373313343328;3825,9453010279
access;partiallypersistent;1334;199,936;0,149877061469265;6672,13508322663
access;partiallypersistent;3065;611,072;0,199370962479608;5015,77555509007
access;partiallypersistent;3065;402,688;0,131382707993475;7611,35171646535
access;partiallypersistent;3065;436,736;0,142491353996737;7017,96966588511
access;partiallypersistent;3065;478,976;0,156272756933116;6399,06801175842
access;partiallypersistent;3065;432,128;0,14098792822186;7092,80583530806
access;partiallypersistent;3065;474,112;0,154685807504078;6464,71719762419
access;partiallypersistent;3065;663,04;0,216326264274062;4622,6472007722
access;partiallypersistent;3065;788,48;0,257252854812398;3887,22605519481
access;partiallypersistent;3065;513,536;0,167548450244698;5968,42285643071
access;partiallypersistent;3065;577,024;0,188262316476346;5311,73746672582
access;partiallypersistent;7257;1155,328;0,159201874052639;6281,33309328606
access;partiallypersistent;7257;1104,128;0,152146617059391;6572,60752376536
access;partiallypersistent;7257;1097,728;0,151264709935235;6610,92729710821
access;partiallypersistent;7257;1176,576;0,162129805704837;6167,89735639687
access;partiallypersistent;7257;1156,096;0,159307702907538;6277,16037422498
access;partiallypersistent;7257;1180,928;0,162729502549263;6145,16719054845
access;partiallypersistent;7257;1008,64;0,138988562766984;7194,83661167513
access;partiallypersistent;7257;1040,128;0,143327545817831;6977,02590450406
access;partiallypersistent;7257;1098,752;0,1514058150751;6604,76613466915
access;partiallypersistent;7257;1208,832;0,166574617610583;6003,31559720458
access;partiallypersistent;17152;2769,408;0,161462686567164;6193,38140136809
access;partiallypersistent;17152;2323,456;0,135462686567164;7382,10665491406
access;partiallypersistent;17152;2433,024;0,141850746268657;7049,6632996633
access;partiallypersistent;17152;2393,6;0,13955223880597;7165,77540106952
access;partiallypersistent;17152;2468,096;0,14389552238806;6949,48656778343
access;partiallypersistent;17152;2491,648;0,145268656716418;6883,79739032159
access;partiallypersistent;17152;2649,6;0,154477611940298;6473,42995169082
access;partiallypersistent;17152;2504,704;0,146029850746269;6847,91496320523
access;partiallypersistent;17152;2650,112;0,154507462686567;6472,17928902628
access;partiallypersistent;17152;2269,696;0,132328358208955;7556,9591698624
access;partiallypersistent;39839;6292,736;0,157954165516203;6330,95048004557
access;partiallypersistent;39839;6648,832;0,166892542483496;5991,87947597413
access;partiallypersistent;39839;6381,824;0,160190366224052;6242,57265634402
access;partiallypersistent;39839;6189,056;0,155351690554482;6437,00751778624
access;partiallypersistent;39839;6746,624;0,169347222570848;5905,02746262427
access;partiallypersistent;39839;6396,672;0,160563066342027;6228,08235282347
access;partiallypersistent;39839;6572,288;0,164971209116695;6061,66376153936
access;partiallypersistent;39839;6468,864;0,162375160019077;6158,57745656734
access;partiallypersistent;39839;6615,296;0,166050754286001;6022,25508881235
access;partiallypersistent;39839;6603,776;0,165761590401365;6032,76065087611
