"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"avg dur (ms)";"1,96*stdev of avg dur (ms)";"avg dur (ms)";"1,96*stdev of avg dur (ms)";ops_per_sec;rows
access;partiallypersistent;250;0,04736;0,0352345257942137;0,00018944;0,000140938103176855;5278716,21621622;10
access;partiallypersistent;579;0,0732928;0,00525745097444845;0,000126585146804836;9,08022620802841e-06;7899820,99196647;10
access;partiallypersistent;1353;0,1638144;0,00942409829798196;0,000121074944567627;6,9653350317679e-06;8259347,16361932;10
access;partiallypersistent;3148;0,3950336;0,0409415184473602;0,000125487166454892;1,30055649451589e-05;7968942,38869808;10
access;partiallypersistent;7329;1,0918656;0,0914450468571491;0,000148978796561605;1,24771519794173e-05;6712364,59871984;10
access;partiallypersistent;17054;2,626432;0,0900467001219608;0,000154006801923302;5,28009265403783e-06;6493219,69881573;10
access;partiallypersistent;39684;6,3284736;0,340318261229489;0,000159471666162685;8,57570459705396e-06;6270706,41489285;10
access;rollback_reorder_lazy;249;13,8500096;4,6479633156034;0,0556225285140562;0,0186665193397727;17978,3268886687;10
access;rollback_reorder_lazy;579;23,2229632;1,10560166746809;0,0401087447322971;0,00190950201635248;24932,2188134889;10
access;rollback_reorder_lazy;1352;58,8229888;1,77381689556635;0,0435081278106509;0,00131199474524138;22984,2112340949;10
access;rollback_reorder_lazy;3148;146,1272576;2,45202041474611;0,0464190780177891;0,000778913727682999;21542,8664829744;10
access;rollback_reorder_lazy;7329;445,19168;3,6201950039328;0,0607438504570883;0,00049395483748571;16462,5718072719;10
access;rollback_reorder_lazy;17052;1542,2479872;10,6625565369518;0,090443818156228;0,000625296536297898;11056,5876185441;10
insert;partiallypersistent;250;1,374208;0,892937054564489;0,005496832;0,00357174821825796;181922,969448584;10
insert;partiallypersistent;584;7,106048;3,83538298465203;0,0121678904109589;0,00656743661755485;82183,5146624397;10
insert;partiallypersistent;1354;30,9016064;5,20215870868226;0,0228224567208272;0,00384206699311836;43816,4923361395;10
insert;partiallypersistent;3151;169,7423872;4,12713498961685;0,0538693707394478;0,00130978577899614;18563,4245634081;10
insert;partiallypersistent;7330;1055,6125952;13,8364900058418;0,144012632360164;0,00188765211539452;6943,83529841384;10
insert;partiallypersistent;17055;6074,2454016;72,7159476948014;0,356156282708883;0,00426361464056297;2807,75616926962;10
insert;partiallypersistent;39686;36369,835264;2267,83194933702;0,91643993509046;0,0571443821331707;1091,17898697997;10
insert;rollback_reorder_lazy;251;0,3716352;0,246919291386942;0,00148061832669323;0,000983742196760726;675393,504167528;10
insert;rollback_reorder_lazy;584;2,2827776;1,60331425962547;0,00390886575342466;0,00274540112949567;255828,688699241;10
insert;rollback_reorder_lazy;1355;19,4301952;4,22470617867045;0,0143396274538745;0,00311786433850218;69736,8187016464;10
insert;rollback_reorder_lazy;3151;194,0991232;6,66365445911382;0,061599213963821;0,00211477450305104;16233,9733845846;10
insert;rollback_reorder_lazy;7330;2332,7819264;6,73829924285244;0,318251286002729;0,000919276840771122;3142,17112068929;10
insert;rollback_reorder_lazy;17057;28807,1624192;145,123782720736;1,68887626307088;0,00850816572203417;592,109689659385;10
modify;partiallypersistent;250;0,7880448;0,506956471540462;0,0031521792;0,00202782588616185;317240,847220869;10
modify;partiallypersistent;582;3,3717504;1,73704041894098;0,00579338556701031;0,00298460553082643;172610,641641801;10
modify;partiallypersistent;1354;15,654272;0,248273616385535;0,0115615007385524;0,000183363084479716;86493,9615205358;10
modify;partiallypersistent;3150;107,000192;2,2692805575118;0,0339683149206349;0,000720406526194222;29439,1995109691;10
modify;partiallypersistent;7329;711,9983104;12,3505948402819;0,0971480843771319;0,00168516780465028;10293,5637528165;10
modify;partiallypersistent;17055;4209,9257344;63,8122511123517;0,246844077068308;0,00374155679345361;4051,14034688089;10
modify;partiallypersistent;39685;26714,6393344;3647,49549699943;0,673167174862039;0,0919111880307277;1485,51509542179;10
modify;rollback_reorder_lazy;250;0,931712;0,647812136761096;0,003726848;0,00259124854704439;268323,25868938;10
modify;rollback_reorder_lazy;582;7,4296576;3,78831807926649;0,0127657347079038;0,00650913759324138;78334,7001078489;10
modify;rollback_reorder_lazy;1354;52,1028608;0,843017420516559;0,0384806948301329;0,000622612570543987;25987,0567414218;10
modify;rollback_reorder_lazy;3150;586,1043456;5,30925223836704;0,186064871619048;0,0016854769010689;5374,46962072141;10
modify;rollback_reorder_lazy;7329;6922,880384;30,9236562990662;0,944587308500478;0,00421935547810975;1058,66338770472;10
modify;rollback_reorder_lazy;17055;87133,9047936;734,888980061105;5,10899471085312;0,043089356790448;195,733222795413;10
remove;partiallypersistent;250;0,5588992;0,355201728324931;0,0022355968;0,00142080691329972;447307,850861121;10
remove;partiallypersistent;582;1,587328;0,581721868472508;0,0027273676975945;0,000999522110777505;366653,898879123;10
remove;partiallypersistent;1354;7,8830848;0,158456632436389;0,00582207149187592;0,000117028532080051;171760,171855566;10
remove;partiallypersistent;3150;50,683776;1,40629835603815;0,0160900876190476;0,000446443922551794;62150,0655357644;10
remove;partiallypersistent;7329;337,1359488;3,92443237050756;0,0460002659025788;0,000535466280598656;21739,0047726646;10
remove;partiallypersistent;17055;2092,4880128;23,6920989548278;0,122690590020522;0,00138915854323236;8150,58432625302;10
remove;partiallypersistent;39685;12963,6155136;977,938290135525;0,326662857845534;0,0246425170753565;3061,2601830382;10
remove;rollback_reorder_lazy;250;0,3693312;0,260167497985496;0,0014773248;0,00104066999194198;676899,216746379;10
remove;rollback_reorder_lazy;582;2,2958592;1,29626926595745;0,00394477525773196;0,00222726677999561;253499,866193885;10
remove;rollback_reorder_lazy;1354;17,1341312;0,514005811005409;0,0126544543574594;0,000379620244464851;79023,557377686;10
remove;rollback_reorder_lazy;3150;197,3531392;2,12388975191033;0,0626517902222222;0,000674250714892169;15961,2358474205;10
remove;rollback_reorder_lazy;7329;2422,7302912;17,9429956471645;0,330567647864647;0,00244821880845473;3025,09942052604;10
